10ppm,50ppm,100ppm,250ppm,500ppm
0.145898819,0.104492188,0.083789825,0.057460785,0.042695045
0.146133423,0.104180336,0.084179878,0.057305336,0.042539597
0.145430565,0.10378933,0.083555222,0.057070732,0.042617798
0.145430565,0.10378933,0.083164215,0.057695389,0.042773247
0.145352364,0.103632927,0.082929611,0.058008194,0.042461395
0.14556694,0.103223041,0.082129195,0.058277607,0.04260559
0.145199776,0.103324607,0.082043268,0.057574462,0.043090057
0.145184144,0.103402711,0.082988642,0.057957269,0.043168165
0.144785687,0.103152752,0.083152674,0.058246326,0.042863466
0.14498882,0.104066849,0.083066754,0.058222868,0.042644691
0.144973189,0.103848077,0.083160497,0.058410358,0.042316534
0.145340443,0.103019908,0.082598023,0.05818386,0.042972852
0.144801334,0.10279341,0.082183935,0.0583869,0.042535305
0.144488811,0.102801137,0.082832336,0.058488466,0.04275408
0.145098209,0.102394961,0.082652666,0.058300972,0.042496301
0.144535735,0.102160551,0.081808947,0.05818386,0.042855646
0.144332603,0.103379346,0.081793308,0.058644772,0.043105602
0.143762305,0.103160575,0.081746392,0.058426,0.04294157
0.143965438,0.103285603,0.08201208,0.05794945,0.043222811
0.144176289,0.104043387,0.082519822,0.05684004,0.042808723
0.144918546,0.103559017,0.082519822,0.057746317,0.043105602
0.144168481,0.103269957,0.082019806,0.053332236,0.042863466
0.143762305,0.104176141,0.082379244,0.058090117,0.043019678
0.143176362,0.103371523,0.082051091,0.05582447,0.04328537
0.143223196,0.102926157,0.081840135,0.057168197,0.043269731
0.14335604,0.103223041,0.081793308,0.057886984,0.043433763
0.143738851,0.100582413,0.082308866,0.057558823,0.04323845
0.143621638,0.102660559,0.082316689,0.058332253,0.04327755
0.144723222,0.102746487,0.082426071,0.057879161,0.043090057
0.144059181,0.103152752,0.082519822,0.057480719,0.043222811
0.143176362,0.103027724,0.082902625,0.057308771,0.043480683
0.143059164,0.103691772,0.082926087,0.058082294,0.043418121
0.143231019,0.102808952,0.082254224,0.057761956,0.043550968
0.143363863,0.102363683,0.082082368,0.057746317,0.043605614
0.142785743,0.102433972,0.082449533,0.058019735,0.043214988
0.142809108,0.101504326,0.082262039,0.058246326,0.043394662
0.142574787,0.10231676,0.082207397,0.058340073,0.043511868
0.142574787,0.101605892,0.082816698,0.058043193,0.043308735
0.142340377,0.101519965,0.082793333,0.058238506,0.043300916
0.142793566,0.101730824,0.082433894,0.058082294,0.043472864
0.142324731,0.101707458,0.081472971,0.0583869,0.043347836
0.142027855,0.102191828,0.082418256,0.058215048,0.043566611
0.142082602,0.102441788,0.082254224,0.058746338,0.04376192
0.141754434,0.102215193,0.081629179,0.058527566,0.043683719
0.141887292,0.101527691,0.081527613,0.058371354,0.043824386
0.142059132,0.101746462,0.081402682,0.058230687,0.043754101
0.141856,0.101262093,0.081285477,0.058300972,0.043777563
0.141582593,0.101418398,0.08114481,0.058168221,0.043996241
0.141410738,0.101215266,0.080918312,0.058238506,0.043558788
0.141566947,0.101933956,0.080754183,0.058121301,0.043910313
0.141746625,0.101199627,0.080683902,0.057980727,0.043589976
0.141754434,0.102012157,0.080465131,0.057808783,0.044207193
0.140926361,0.102058984,0.08051987,0.057996273,0.044105627
0.141434103,0.100965217,0.080254175,0.058308791,0.044144727
0.141395092,0.100566767,0.080191709,0.057738494,0.043793108
0.141270071,0.100238703,0.080246449,0.05780096,0.044019699
0.14177008,0.100933932,0.0800355,0.057683852,0.044355679
0.141504481,0.101051144,0.080910496,0.058027554,0.043980598
0.14142628,0.10068398,0.080847934,0.058121301,0.044105627
0.141996667,0.101519965,0.079949573,0.058019735,0.044207193
0.141160682,0.101629257,0.079910472,0.057683852,0.04434786
0.141363814,0.101574615,0.080254175,0.057574462,0.043949414
0.141488835,0.101269916,0.078957371,0.057855703,0.044019699
0.141473204,0.100809,0.080402665,0.05760565,0.043605614
0.141613871,0.100590229,0.080355741,0.057644751,0.043840028
0.141363814,0.100809,0.080668263,0.057847884,0.044129085
0.141738802,0.101082422,0.080340199,0.057644751,0.044074345
0.141121671,0.101621442,0.079910472,0.057222843,0.044183731
0.140902907,0.101199627,0.079972938,0.05761347,0.044371225
0.141059116,0.101394944,0.080152608,0.057425976,0.04434786
0.141387269,0.101879314,0.080496408,0.057699393,0.044285297
0.141363814,0.102340221,0.080066681,0.059090044,0.044160366
0.14180918,0.101301193,0.080051139,0.058051016,0.044152547
0.140973195,0.10145741,0.079801083,0.057777595,0.044144727
0.140699774,0.102152728,0.079676054,0.057597924,0.044261932
0.140684128,0.10068398,0.079777621,0.05760565,0.044683743
0.14166069,0.100551128,0.079324536,0.057871342,0.045051005
0.141379461,0.101238631,0.079254247,0.057754137,0.044980623
0.140668496,0.100402735,0.079066753,0.057863522,0.045051005
0.140551284,0.100246526,0.078926086,0.057722855,0.045160294
0.140395075,0.100535586,0.078660488,0.05760565,0.045183755
